,Initial text,Corrupted text
10," Ох и снег! <BR>                         На снегу стоит мельница. <BR> На больших жерновах <BR>                             время мелется. <BR> Там муку на весах <BR>                          мельник взвешивает, <BR> будто он на весах <BR>                          время взвешивает. <BR> Все движенья его <BR>                         очень медленны. <BR> Держит гирю он в белой руке. <BR> Он над строгими чашами <BR>                                 медными ― <BR> словно памятник белой муке. <BR> Он своей справедливой рукой <BR> наполняет авоськи мукой. <BR> Мама держит авоську у сердца. <BR> А мука-то сквозь дырочки <BR>                                    сеется. <BR> Тает, тает мука, будто снег. <BR> Снег летает. <BR>                     Мука или снег? <BR> Высыпается он, <BR>                      высыпается. <BR> Лишь авоська в руке, холодна.","                                    сеется. <BR> Ох и снег! <BR> Тает, тает мука, будто снег. <BR> Высыпается он, <BR> Держит гирю он в белой руке. <BR> Он своей справедливой рукой <BR>                         очень медленны. <BR> Мама держит авоську у сердца. <BR> А мука-то сквозь дырочки <BR> Лишь авоська в руке, холодна.<BR> На больших жерновах <BR>                          мельник взвешивает, <BR>                          время взвешивает. <BR> наполняет авоськи мукой. <BR>                         На снегу стоит мельница. <BR>                     Мука или снег? <BR> Снег летает. <BR>                      высыпается. <BR> Там муку на весах <BR> Все движенья его <BR> будто он на весах <BR>                             время мелется. <BR> Он над строгими чашами <BR>                                 медными ― <BR> словно памятник белой муке. "
11," Простерши руку, царь ответствовал Гирею: <BR> «Тот будет друг и мне, кто верный друг Алею; <BR> Твой разум слепота бессильна ослепить, <BR> Тебя не просвещать ― осталось подкрепить; <BR> Ты брат россиянам!  Но что орда мутится, <BR> На их главу их меч и злоба обратится; <BR> Я детскою игрой считаю их совет, <BR> Российскому мечу дадут они ответ». "," Простерши руку, царь ответствовал Гирею: <BR> «Тот будет друг и мне, кто верный друг Алею; <BR> Твой разум слепота бессильна ослепить, <BR> Ты брат россиянам!  Но что орда мутится, <BR> На их главу их меч и злоба обратится; <BR> Я детскою игрой считаю их совет, <BR> Российскому мечу дадут они ответ». "
12," С каймою шали шелковой, <BR>  с узлом, <BR> с дудой и Белой Лошадью <BR>  уйдём. "," С каймою шали шелковой, <BR>  с узлом, <BR>  уйдём. "
13," Уж я не знаю, что его влекло: <BR> корысть, иль блажь, иль зов любви неблизкой, <BR> но некогда в российское село ― <BR> ура, ура!  ― шут прибыл италийский. "," Уж я не знаю, что его влекло: <BR> корысть, иль блажь, иль зов любви неблизкой, <BR> Рассеяны ль?<BR> ура, ура!  ― шут прибыл италийский. "
14,"Ты знаешь, с наступленьем темноты <BR> пытаюсь я прикидывать на глаз, <BR> отсчитывая горе от версты, <BR> пространство, разделяющее нас. ","Горе я, глаз от на <BR> прикидывать разделяющее отсчитывая пространство пытаюсь, <BR> темноты знаешь нас наступленьем, <BR> ты, с версты."
15," Жена его всё, знаешь, поджигает: <BR> «Делись, дескать!  Твой брат-то лежебок, <BR> Как куколку жену-то наряжает, <BR> Исподтишка весь дом поразволок…» ","Весь делись то, поджигает, то: <BR>« Дом, дескать! Его наряжает- знаешь лежебок, <BR> Брат твой исподтишка- всё жену, <BR> Как поразволок куколку жена…»"
16, Небес запретною загадкой <BR> сопровождаем этот путь. <BR> И Сириус быстрозакатный <BR> не может никуда свернуть. , Небес запретною загадкой <BR> И Сириус быстрозакатный <BR> не может никуда свернуть. 
17,"  ― Моё сердце с любимым рождалось <BR> И с любимым погасло оно. <BR> С этих дней ― недоступна жалость <BR> И простить не дано. <BR> Пусть мой жребий пройдёт, не оплакан, <BR> Всё развеивая, <BR>  всё губя, <BR> Но куда б ты ни скрылся, Гаген, <BR> Моя месть настигнет тебя. ","  всё губя, <BR> И простить не дано. <BR> С этих дней ― недоступна жалость <BR> Всё развеивая, <BR>  ― Моё сердце с любимым рождалось <BR> И с любимым погасло оно. <BR> Пусть мой жребий пройдёт, не оплакан, <BR> Моя месть настигнет тебя. <BR> Но куда б ты ни скрылся, Гаген, "
18," И даже, повстречав падучую звезду <BR> Иль серых облаков знакомую гряду, ","Звезду повстречав, иль падучую даже <BR> Облаков серых гряду знакомую и,"
19," Так полон голос твой напевности, <BR> И взгляд огня. ― <BR> Ведь, я не властен в вспышках ревности… <BR> Прости меня.","Полон так вспышках голос ревности, <BR> Твой властен взгляд.― <BR> Меня, огня напевности ведь в прости и… <BR> Не я."
20,"Над шабашем скал, к которым <BR> Сбегаются с пеной у рта, <BR> Чадя, трапезундские штормы, <BR> Когда якорям и портам, ","Чадя к с, которым сбегаются <BR> Портам штормы у над и, <BR> Якорям, трапезундские шабашем, <BR> Скал рта пеной когда,"
21," И быстро и молча проходят они <BR> Заводы, заставы, заборы, мосты… <BR> Слилися вдали городские огни, <BR> И ветру просторней, и тише дышать… <BR> Виднеется вдруг словно вымерший дом ― <BR> По снам позабытым он сердцу знаком.","И слилися и быстро проходят вымерший <BR> Тише, дышать, он, они… <BR> Сердцу заборы снам ветру, <BR> Вдруг молча огни, знаком и дом… <BR> Просторней городские заводы заставы позабытым― <BR> Виднеется вдали словно мосты и по."
22," Тревогой странной томясь, ― вовне ― <BR> в неизвестность исхода искал. ― <BR> Зачем? ― чудак! ― Все мое при мне: <BR> и дети, и скот, и скарб. ","Мне искал при,― странной― <BR> все и тревогой скот.― <BR> Скарб?― и!― Вовне и дети неизвестность: <BR> зачем томясь, чудак в, мое исхода."
23," Горю вздохами не помочь. <BR> Поневоле или с охотой, <BR> но взяла в свои руки дочь <BR> материнскую всю работу. "," Горю вздохами не помочь. <BR> Поневоле или с охотой, <BR> Обойди свет белый, <BR> материнскую всю работу. "
24," Нас трое братьев.  Кто дойдет? <BR> Кто счет сведет долгам и ранам? <BR> Один из нас в бою падет, <BR> Как сноп, сражен железом бранным. ","Кто сведет кто. Братьев нас? <BR> Счет долгам бранным трое ранам дойдет? <BR> Как сражен один бою падет из, <BR> Нас сноп, железом и в."
25, В его деревянной пристройке <BR> Свеча одиноко горит; <BR> Скупец умирает на койке <BR> И детям своим говорит: , В его деревянной пристройке <BR> Свеча одиноко горит; <BR> И детям своим говорит: 
26,"Как будто завелось во мне гнездо, <BR> И там большой птенец, и пить он просит, <BR> А пьют птенцы ― что птицы им приносят ― <BR> Согретый шарик костяной воды. ","Как будто завелось во мне гнездо, <BR> И там большой птенец, и пить он просит, <BR> А пьют птенцы ― что птицы им приносят ― "
27," О, называй меня безумным!  Назови <BR> Чем хочешь; в этот миг я разумом слабею <BR> И в сердце чувствую такой прилив любви, <BR> Что не могу молчать, не стану, не умею! ","Этот, не такой меня! О <BR> Не что; стану любви разумом миг прилив слабею <BR> Хочешь в назови я не могу умею, <BR> И сердце молчать чувствую, в безумным, называй чем!"
28,"Я предвосхитил всё мечтой: <BR> Всю боль, всю бренность наслажденья. <BR> Свершенья нет.  Так чередой <BR> Стихают юности волненья. ","Я предвосхитил всё мечтой: <BR> Всю боль, всю бренность наслажденья. <BR> Свершенья нет.  Так чередой "
29," Я со скамьи студенческой <BR> мечтаю, чтобы зданья <BR> ракетой <BR>  стоступенчатой <BR> взвивались <BR>  в мирозданье! ", Я со скамьи студенческой <BR> мои слова мильоны уст возьмут <BR> ракетой <BR>  стоступенчатой <BR> взвивались <BR>  в мирозданье! 
30," Не помогли твои ягоды злые, <BR> Молодец сон поборол. <BR> Не удержали и гвозди стальные, <BR> Молодец встал как орел. "," Не помогли твои ягоды злые, <BR> Молодец сон поборол. <BR> Молодец встал как орел. "
31," Что уж так они вовеки <BR> Различаются места, <BR> Что у них ручьи и реки <BR> И сама земля не та, <BR> И полянки, и пригорки, <BR> И козявки, и жуки… ","Различаются что вовеки места пригорки <BR> Ручьи реки, <BR> Они и и та уж что <BR> И и сама не козявки, <BR> Них и, у и, <BR> Так земля, жуки полянки…"
32," Я очи вздымаю на горы и реки, <BR> На дикое поле Гуляй. <BR> Надолго-надолго, на вечные веки <BR> Сияй, наша слава, сияй!"," Я очи вздымаю на горы и реки, <BR> Надолго-надолго, на вечные веки <BR> Сияй, наша слава, сияй!"
33," Когда на душе у тебя неспокойно, <BR> Когда в тебе рыцарство перевелось, <BR> Проклятая жизнь, ― все равно ты достойна <BR> Молитвы во благо и благостных слёз. ","Тебя все тебе когда равно ты, <BR> Когда неспокойно благо во перевелось, <BR> В душе,― рыцарство благостных у на <BR> Молитвы жизнь достойна слёз и проклятая."
34,"Ещё глоток. Покуда допоздна <BR> исходишь злостью, завистью и ленью, <BR> и неба судорожная кривизна <BR> молчит, не обещая искупленья ― <BR> сложу бумаги, подойду к окну <BR> подвальному, куда сдувает с кровель <BR> обломки веток, выгляну, вздохну, <BR> мой рот кривой с землёй осенней вровень. <BR> Там подчинён ночного ветра свист <BR> неузнаваемой, неистощимой силе. <BR> Как уверял мой друг-позитивист, <BR> куда как страшно двигаться к могиле. <BR> Я трепет сердца вырвал и унял. <BR> Я превращал энергию страданья <BR> в сентябрьский оклик, я соединял <BR> остроугольные детали мирозданья <BR> заподлицо, так плотник строит дом <BR> и гробовщик ― продолговатый ящик. <BR> Но что же мне произнести с трудом <BR> в своих последних, самых настоящих?","Страшно обещая. И вровень <BR> к оклик, я могиле друг, <BR> мой произнести детали неистощимой <BR> глоток, гробовщик покуда там― <BR> сердца допоздна, куда вздохну унял <BR> бумаги, соединял двигаться вырвал трепет <BR> рот мирозданья, как, исходишь, <BR> искупленья и ящик остроугольные мой и продолговатый. <BR> Я сложу мне завистью же <BR> неузнаваемой, подчинён ветра. <BR> Ещё неба в последних- уверял, <BR> с выгляну настоящих свист с землёй. <BR> Позитивист кривой подвальному своих силе что. <BR> Куда плотник превращал как <BR> судорожная энергию я, страданья сдувает <BR> кривизна осенней сентябрьский <BR> ленью, с кровель самых веток <BR> но ночного― обломки заподлицо. <BR> Злостью не молчит подойду трудом к и <BR> в дом окну, строит так?"
35," И пахло до отказу лавровишней… <BR> Куда же ты?  Ни лавров нет, ни вишен… ","И вишен лавров ты нет… <BR> Ни ни же? Пахло лавровишней до, отказу куда…"
36," И величаво-одинок <BR> На звездном небе конус Этны, <BR> Где тает бледный, чуть заметный, <BR> Чуть розовеющий венок.","Где тает- небе <BR> Этны чуть заметный конус Одинок, <BR> Звездном бледный чуть, величаво венок, <BR> На и розовеющий."
37,  Но клятву дай оставить все старанья <BR> Разведать ― кто она…. и обо всем <BR> Молчать….. ,Но все кто дай молчать она <BR> Разведать― старанья оставить…. всем обо и <BR> Клятву…..
38," Я отпрянул ― хоть некуда!  ― и в тот же миг <BR> он неслышно ко мне прикоснулся ― и крик <BR> омерзенья потряс меня, словно разряд. <BR> И ударило где-то три раза подряд. <BR> Я очнулся ― и долго в холодном поту <BR> с колотящимся сердцем смотрел в"," он неслышно ко мне прикоснулся ― и крик <BR> с колотящимся сердцем смотрел в<BR> Я очнулся ― и долго в холодном поту <BR> Я отпрянул ― хоть некуда!  ― и в тот же миг <BR> И ударило где-то три раза подряд. <BR> омерзенья потряс меня, словно разряд. "
39," Тут шум и гвалт.  Никак уже скандала <BR> Не избежать.  Прихлынули толпой. <BR> Очнулась няня первая и стала <BR> Всех просто гнать.  Тотчас, сама собой, <BR> Став выше всех, она уже вступала <BR> В бесспорные права над трупом той, <BR> Что ей младенцем, с божья изволенья, <BR> Была дана в любовь и береженье. "," Тут шум и гвалт.  Никак уже скандала <BR> Не избежать.  Прихлынули толпой. <BR> Очнулась няня первая и стала <BR> Всех просто гнать.  Тотчас, сама собой, <BR> Став выше всех, она уже вступала <BR> В бесспорные права над трупом той, <BR> Что ей младенцем, с божья изволенья, "
40," Чем и горжусь.  Но не в самом овраге. <BR> Паденья миг меня доставит вниз. <BR> Эй, эй!  Помене гордости и влаги. <BR> Посуше будь, всё то, что меж ресниц. ","Всё вниз то. Овраге чем и посуше ресниц. <BR> Меня не будь эй паденья. <BR> Меж, самом! В гордости что горжусь. <BR> Миг влаги, эй и, но доставит помене."
41," И, оберегая нас, благ и нем, <BR> Склоняется мрак к двоим… <BR> Не знаю за что и не слышу ― кем, <BR> Лишь чувствую, что любим."," И, оберегая нас, благ и нем, <BR> Склоняется мрак к двоим… <BR> Лишь чувствую, что любим."
42, Где кончается жизнь?  Где подмостки? <BR> Ложь от правды нельзя отличить: <BR> Здесь и ветер искусственно хлесткий <BR> Заплетает узорами нить. , Где кончается жизнь?  Где подмостки? <BR> Здесь и ветер искусственно хлесткий <BR> Заплетает узорами нить. 
43," затасканных сравнений лоск <BR> прости: как запоздалый кочет, <BR> униженный разлукой мозг <BR> возвыситься невольно хочет."," затасканных сравнений лоск <BR> (на дно, <BR> униженный разлукой мозг <BR> возвыситься невольно хочет."
44," Не ходи к нему, мой милой; <BR> Верь ты матери родной. <BR> Без того уж над могилой <BR> Я стою одной ногой; <BR> Если ж ты, отважась в гости, <BR> Сном прельстясь, да наяву <BR> Жертвой сделаешься злости, ― <BR> Я и дня не проживу. "," Верь ты матери родной. <BR> Без того уж над могилой <BR> Я стою одной ногой; <BR> Если ж ты, отважась в гости, <BR> Сном прельстясь, да наяву <BR> Жертвой сделаешься злости, ― <BR> Я и дня не проживу. "
45," Мать, грусти верная, забыв обет небес, <BR> Тот день, как сын ее погиб стрелой Парида, <BR> Навеки обрекла для горести и слез, <BR> Чтоб участь мрачную оплакивать Пелида. <BR> И каждый год в сей день, в тиши ночных часов, <BR> Из волн лазоревых богиня выходила <BR> К полям, где бывшие Пелидова следов <BR> Десница времени еще не истребила; <BR> Где Ксанф и Симоис, прах Трои, ряд могил, <BR> И каждый камень ей о сыне говорил. <BR> Там, над могилою заглохлой и пустынной, <BR> Но гордою еще всех высшею главой, <BR> Черневшей издали над пенною пучиной, <BR> Фетида каждый год являлась в час ночной. <BR> С богиней скорбь деля, и сестры Нереиды <BR> Бросали каждый год Нерея влажный дом; <BR> И, выходя из волн, вкруг горестной Фетиды <BR> Садились сетовать на холме гробовом. <BR> И то безмолвные грустили вкруг богини; <BR> То, вторя плачущей стенанием своим, <BR> Смущали тишину и ночи и пустыни, <BR> И плач их ветром был далеко разносим. <BR> Далеко слыша их, смолкала Филомела; <BR> Недвижно Цинтия на горестных смотрела <BR> И слезы тихие задумчиво лила. <BR> Так песнь их жалобна, так сладостна была. "," Из волн лазоревых богиня выходила <BR> И плач их ветром был далеко разносим. <BR> Недвижно Цинтия на горестных смотрела <BR> Так песнь их жалобна, так сладостна была. <BR> К полям, где бывшие Пелидова следов <BR> Десница времени еще не истребила; <BR> Мать, грусти верная, забыв обет небес, <BR> И слезы тихие задумчиво лила. <BR> Навеки обрекла для горести и слез, <BR> Чтоб участь мрачную оплакивать Пелида. <BR> Далеко слыша их, смолкала Филомела; <BR> С богиней скорбь деля, и сестры Нереиды <BR> Садились сетовать на холме гробовом. <BR> И каждый камень ей о сыне говорил. <BR> Смущали тишину и ночи и пустыни, <BR> И каждый год в сей день, в тиши ночных часов, <BR> Фетида каждый год являлась в час ночной. <BR> Тот день, как сын ее погиб стрелой Парида, <BR> То, вторя плачущей стенанием своим, <BR> И то безмолвные грустили вкруг богини; <BR> Но гордою еще всех высшею главой, <BR> Там, над могилою заглохлой и пустынной, <BR> Бросали каждый год Нерея влажный дом; <BR> Где Ксанф и Симоис, прах Трои, ряд могил, <BR> Черневшей издали над пенною пучиной, <BR> И, выходя из волн, вкруг горестной Фетиды "
46," В закрытые глаза ― уездного музея <BR> вдруг смотрит натюрморт, чьи ожили цветы, <BR> и бабушки моей клубится бумазея, <BR> иль как зовут крыла старинной нищеты? ","Как бумазея зовут― и моей <BR> иль уездного музея, крыла закрытые бабушки, <BR> смотрит нищеты глаза натюрморт ожили, <BR> вдруг клубится в старинной чьи цветы?"
47," В жару предчувствия плохого ― <BR> поступка до скончанья лет <BR> в подъезд, где ветхий лак плафона <BR> так трогателен и нелеп. ","Поступка трогателен ветхий в― <BR> жару предчувствия скончанья плафона <BR> лак плохого, где нелеп лет так <BR> и в подъезд до."
48," Царица тридевятой флоры! <BR> Зачем на скромный наш восток, <BR> на хляби наши и заборы, <BR> на злоначальные затворы <BR> пал твой прозрачный лепесток? "," Зачем на скромный наш восток, <BR> на хляби наши и заборы, <BR> пал твой прозрачный лепесток? <BR> Царица тридевятой флоры! <BR> на злоначальные затворы "
49,"Ты всё келейнее и строже, <BR> Непостижимее на взгляд… <BR> О, кто же, милостивый Боже, <BR> В твоей печали виноват? "," Непостижимее на взгляд… <BR> О, кто же, милостивый Боже, <BR> В твоей печали виноват? "
50,"О, боги древности, я чуял вас, <BR> Когда в безмолвной и печальной тризне <BR> Сюда ваш рой слетал в предзвездный час: <BR> Казалось мне, ― в иной далекой жизни <BR> Я с вами здесь бывал уже не раз <BR> И ныне вновь пришел к моей отчизне; <BR> С виденьями богов наедине <BR> И сладостно, и страшно было мне… ","О, боги древности, я чуял вас, <BR> Когда в безмолвной и печальной тризне <BR> и черепом оскаленный блиндаж… ― <BR> Казалось мне, ― в иной далекой жизни <BR> Я с вами здесь бывал уже не раз <BR> И ныне вновь пришел к моей отчизне; <BR> С виденьями богов наедине <BR> И сладостно, и страшно было мне… "
