,Initial text,Corrupted text
34,"Мне снились ― вьюга, снег глубокий, <BR> Пустыня, на небе ни зги; <BR> В пустыне путник одинокий <BR> Влачил усталые шаги. <BR> И думал он: «Мой путь без цели… <BR> Ужель не встретить мне людей? <BR> Зачем я здесь?  Чего хотели <BR> Порывы смелости моей?.. <BR> Где жизнь?  И этот край ― ужели <BR> Одна пустая гладь степей, <BR> Где, воя, носятся метели?.. <BR> Беда, великая беда <BR> Тому, кто одинокий бродит <BR> В пустыне снежной ― и следа <BR> Нигде людского не находит!.. <BR> Зачем же мой свободный дух <BR> Исполнен правдою святою, <BR> Когда враждует всё вокруг <BR> Несправедливою враждою?.. <BR> Иль нужны жертвы для судьбы? <BR> И лишь творя ― природа любит, <BR> А после ― бросит и погубит <BR> В мученьях жизненной борьбы?.. <BR> Борьба!..  Порой пред волей смелой, <BR> Перед светильником ума <BR> Редеет нравственная тьма <BR> И расступаются пределы, ― <BR> Но света нет за этой мглой, <BR> Грозящей мерзлою могилой; <BR> Ничтожен дух пред этой силой <BR> И бессознательной, и злой!..»","Мне снились ― ледышка снег глубокий, <BR> Пустыня, на небе ни зги; <BR> До пустыне парнишка одинокий <BR> Влачил разгульные шаги. <BR> Н.к матерился য: «Мой успех без доведения <BR> Ужель будет.Так встретить мне людей? <BR> Мучить я нелегко? Чего надо <BR> Порывы смелости моей?.. <BR> Полюбому канитель? и этот край проблемы ужели <BR> Одна пустая гладь поволжья <BR> 0Где воя, общаются метели?.. <BR> Беда, проклятая безответственность <BR> Тому, кто одинокий гуляла <BR> В пустыне снежной 14 и пожарища <BR> Достойного подспудного не находит!.. <BR> Зачем же развратный свободный дух <BR> Исполнен правдою святою, <BR> Когда враждует всё суетится <BR> Несправедливою вселенною <BR> Воротишься нужны гадины для необъятностью? <BR> И лишь творя ― природа любит, <BR> НО после ― бросит ՖԻԼՄ погубит <BR> В огорчении долголетней усталостью?.. <BR> Контроль!.. По-разному пред волей смелой, <BR> Решая светильником ума <BR> Редеет нравственная тьма <BR> Придут расступаются берегов, ― <BR> Но просвета нет за этой мглой, <BR> Темнолесской НовоселкаВолновахаВолодарскоеГорловкаГорнякДебальцевоДзержинскДобропольеДокучаевскДружковкаЕнакиевоЖдановкаЖелезноеЗугрэсИловайскКомсомольское могилой; <BR> Ничтожен Аристократизм пред этой культурностью <BR> И стереотипной интерьерКино50 злой!..»"
35," А было это под Пасху… <BR> Кровь убитого к небу возносилася <BR> И звала людей к покаянию, <BR> А душа удушенной под забором царства небесного <BR> Облакачивалась.","А объяснено это под Пасху… <BR> Мочи поганца к небу возносилася <BR> И бодрила людей к покаянию, <BR> А скипидарная удушенной под лесополосой Естества гравитационного <BR> Облакачивалась."
36," Руслан на мягкий мох ложится <BR> Пред умирающим огнем; <BR> Он ищет позабыться сном, <BR> Вздыхает, медленно вертится… <BR> Напрасно!  Витязь наконец: <BR> «Не спится что-то, мой отец! <BR> Что делать: болен я душою, <BR> И сон не в сон, как тошно жить. <BR> Позволь мне сердце освежить <BR> Твоей беседою святою. <BR> Прости мне дерзостный вопрос. <BR> Откройся: кто ты, благодатный, <BR> Судьбы наперсник непонятный? <BR> В пустыню кто тебя занес?» ","Руслан на ладный мох проникает <BR> Пред умирающим лавой <BR> он-таки устанавливает позабыться сном, <BR> Вздыхает, длительно блестит <BR> Напрасно! Беркут распогодилось: <BR> «Не заснет что-то, мой потомок <BR> Что делать: болен я душою, <BR> и кошмаре ниразу в Недосып как тошно жить. <BR> Позволь мне сердце освежить <BR> Твоей учтивостью святою. <BR> Прости ему-то кипучий вопрос. <BR> припади кто ты, благодатный, <BR> Событья наперсник непонятный? <BR> во пустыню кто тебя занес?»"
37," Без ропота иду навстречу вечной власти, <BR> Молитву затвердя горячую одну: <BR> Пусть тот осенний ветр мои погасит страсти, <BR> Что каждый день с чела роняет седину. ","Без вопли иду беглецу вечной думцы, <BR> Настольную обрушивали горячую одну: <BR> Так-то тот осенний ветр мои погасит страсти, <BR> Хе-хе каждый день с уникума роняет седину."
38," Шуми, поток!  стрелой несися! <BR> С скалы гранитной и крутой <BR> Отважно падай и дробися <BR> Жемчужной, сребряной росой! ","Шуми, поток! стрелой несися! <BR> С пляжи гранитной дискиавтокомпаниивойтизарегистрироватьсясписок какой-нить <BR> Прилежно горячись и дробися <BR> Жемчужной, сребряной росой!"
39," Блудливая обезьяна, <BR>  Стащившая горсть орехов! <BR> Хитрец, под великий камень <BR>  Подкладывающий огонь… <BR> Союз ― это семь огромных, <BR>  Семь орудийных цехов, <BR> Республика ― беспредельный <BR>  Рокочущий полигон! ","Пышнотелая порнокастинги.обезьяна, <BR> Стащившая горсть бисквитов <BR> Хитрец, под единовластный фонтан <BR> Подкладывающий огонь… <BR> Союз ― это семь безразмерных <BR> .много дымовых цехов, <BR> Сербия ― беспредельный <BR> Рокочущий полигон!"
40," Я уезжаю, уезжаю, <BR> опять мы дурно говорим, <BR> опять упасть себе мешаю <BR> пред чешским именем твоим, ","Я отьезде, Уезжают <BR> опять поддерживаем непритворно готовим, <BR> опять упасть себе мешаю <BR> пред чешским именем твоим,"
41,"  ― Тебя ― <BR> ― Найдет, серебряным <BR>  Лучом <BR>  Кипя ― ",― Тебя ― <BR> ― отвлечется красно-зеленым <BR> Зеркалом <BR> Кипя ―
42," Иван Иванович в раздумья потер лоб, ― <BR> Ах, Маришка, засадила занозу! <BR> Лопату по рукоятку вогнал в сугроб <BR> И взошел на крыльцо, барабанное от","Новиков Иванович в раздумья погрел ключицу, ― <BR> Ах, Настюша засадила занозу! <BR> Лопату по защёлку полизал в фирн <BR> И взошел на крыльцо, барабанное от"
43, И уже розовеет восток на глазах. <BR> Озаряет сумрачный лес… <BR> Бледный месяц растаял в небесных лугах <BR> И в холодных просторах исчез… ,И есть.Это розовеет восток на глазах. <BR> Озаряет тошнотный лес… <BR> Липкий месяц потрескался в небесных лугах <BR> И .-В холодных просторах испарились
44," Чиста небесная лазурь, <BR> Теплей и ярче солнце стало, <BR> Пора метелей злых и бурь <BR> Опять надолго миновала. ","чорна погибающая лазурь, <BR> Теплей и ярче зной стало, <BR> Пора метелей злых Ǩ бурь <BR> Опять никак миновала."
45," На береге пустынном Инбака <BR> Я первые стихи сложил дитёю <BR> И дочери косматой остяка <BR> Их напевал вечернею порою, <BR> Уж я тогда слыхал про Ермака, <BR> Но занят был природою одною; <BR> И на горе, под сению кедра, <BR> Ночь светлую сидел я до утра. ","На благодатном пустынном Инбака <BR> он первые стихи пересчитал ребятенка <BR> И Николеньки косматой остяка <BR> Их сплевывал вечернею порою, <BR> Уж я тогда вытерпел про Ермака, <BR> Преодолимо занят образовался природою одною; <BR> Эй на Синюхе, переделанным тучею кедра, <BR> Ночь светлую творил я до утра."
46," Нынче, журналы читая, <BR> Просто не веришь глазам, <BR> Слышали ― новость какая? <BR> Мы же должны мужикам! <BR> Экой герой сочинитель! <BR> Экой вещун-богатырь! <BR> Верно ли только, учитель, <BR> Вывел ты эту цифирь? <BR> Если ее ты докажешь, <BR> Дай уж нам кстати совет: <BR> Чем расплатиться прикажешь? <BR> Суммы такой у нас нет! <BR> Нет ничего, кроме модных, <BR> Но пустоватых голов, <BR> Кроме желудков голодных <BR> И неоплатных долгов. <BR> Кроме усов, бакенбардов <BR> Да «как-нибудь» да «авось»… <BR> Шутка ли! шесть миллиардов! <BR> Смилуйся! что-нибудь сбрось! <BR> Друг! ты стоишь на рогоже, <BR> Но говоришь ты с ковра… <BR> Чем это кончится, боже!.. <BR> Грешен, не жду я добра… ","Нынче, журналы читая, <BR> Просто не веришь цифрам <BR> Слышали ― страница какая? <BR> Мы Ų должны мужикам! <BR> Экой прокурор сочинитель! <BR> Экой вещун-богатырь! <BR> Скорее xBBи недолго, учитель, <BR> переселил ты чёрную ерундовая? <BR> Безусловно изменять ты докажешь, <BR> добудь жжжж нам все-равно совет: <BR> Публичнее расплатиться прикажешь? <BR> Суммы такой у везде- негде <BR> Нет никогда-никогда насчёт модных, <BR> Но пустоватых голей <BR> Кроме желудков голодных <BR> И неоплатных долгов. <BR> Др.если усов, торсов <BR> Да «как-нибудь» да «авось»… <BR> Шутка ли! шесть миллиардов! <BR> Смилуйся! что-нибудь сбрось! <BR> Наставник ты стоишь НА сенях, <BR> Ес-но говоришь ты За ковра… <BR> Чем Тоже кончится, еще-то!.. <BR> Грешен, меется испробую СИЖУ бездушия"
47," он парит в голубом океане, сомкнувши клюв, <BR> с прижатою к животу плюсною ― <BR> когти в кулак, точно пальцы рук ― <BR> чуя каждым пером поддув <BR> снизу, сверкая в ответ глазною <BR> ягодою, держа на Юг, ","Хоцума парит в голубом океане, сомкнувши куполообразный, <BR> с прижатою к животу плюсною ― <BR> когти в кулак, точно пальцы затылков л <BR> оплакивая каждым бумажкой Выдув <BR> расстегнуты, стуча в МазрухоВ глазною <BR> ягодою, держа за Юг,"
48," И звенит и поет, поднимаясь, песок, <BR> Он узнал своего господина. <BR> Воздух меркнет, становится солнца зрачок <BR> Как гранатовая сердцевина. ","Пуфы звенит и поет, поднимаясь, песок, <BR> Он узнал воодушевленного господина. <BR> Огне застилает становится СОЛНЕЧНОГО зрачок <BR> Как гранатовая первичная."
49,"Люблю я задумываться, <BR> Внимая свирели, <BR> Но слаще мне вслушиваться <BR> В воздушные трели <BR> Весеннего жаворонка! ","Еду я углубляться, <BR> Внимая свирели, <BR> Общеизвестно слаще мне вслушиваться <BR> Апреле катковые трели <BR> Весеннего жаворонка!"
50,"Шагала…  Глаза ее впали, <BR> И был не белей ее щек <BR> Надетый на ней в знак печали <BR> Из белой холстины платок. ","не Глаза ее впали, <BR> И предлагался не белей ее щек <BR> Надетый по ней в знак печали <BR> .без белой оконницы кепку"
51, ………… <BR> ………… ,………… <BR> …………
52," Печаль, с которой сердце не сживется, <BR> Поверг Цюй Юань в речную быстрину. <BR> Седой Ли Бо нашел на дне колодца <BR> Похмельную и низкую луну… ","Печаль, типоразмером которой беспокойное oнo сживется, <BR> Поверг Цюй Юань в речную быстрину. <BR> Седой Ли Бо нашел на типичном фонаря <BR> Врачебную и морфологическую луну…"
53," На что мне в свете жить, коль в нем тебя не будет? <BR> Иль мыслишь ты, тебя Семира позабудет? <BR> Коль намеряешься ты сам себя убить, <BR> Жестокий, для чего ты стал меня любить? ","На что вооообще в свете жить, коль из нем тебя даже будет? <BR> Ан живёшь ты, тебя Каллисфена допишет <BR> Коль намеряешься ты сам кого-нибудь убить, <BR> Призрачный подстраховки чего ты стал меня любить?"
54,"Чем окончился этот случай, <BR> Не узнать ни любви, ни дружбе. <BR> С каждым днем отвечаешь глуше, <BR> С каждым днем пропадаешь глубже. ","Чтобы знаменовался благословенный случай, <BR> Не Интересующую ни любви, бьшо дружбе. <BR> 5-16 каждым днем отвечаешь глуше, <BR> С каждым днем пропадаешь глубже."
55," Непрочно всё, что нами здесь любимо, <BR> Что день ― сдаем могиле мертвеца, <BR> Зачем же ты в душе неистребима, <BR> Мечта любви, не знающей конца?..","Непрочно все-то что вышеупомянутыми здесь любимо, <BR> Что день uralpress.ru отъезжаем могиле мертвеца, <BR> Зачем же ты в душе неистребима, <BR> Мечта любовью не обдуманной отрезка"
56," Пусть вес годового удоя <BR> Окажется вдруг более раз в пять <BR> Коровы самой; <BR>  Пусть явленье простое ― <BR> Кормящая грудью ребенка есть мать… <BR> Пусть столько очищенных лун пронеслось <BR> Над тем, <BR>  Кто когда-то был молокосос… ","Поправляйте вес годового кормопроизводства <BR> Окажется почует более раз в семисот <BR> Коровы самой; <BR> Пусть явленье мнемоническое ― <BR> Кормящая грудью младенцев есть мать… <BR> Наградит тысяч- очищенных лун пронеслось <BR> Над элементарнее, <BR> Слышал когда-то был неоперившийся"
57," Как музыка: века в слезах, <BR> А песнь не смеет плакать, <BR> Тряслась, не прорываясь в ах! ― <BR> Коралловая мякоть.","Как музыка: тысячелетие в слезах, <BR> А песнь не смеет плакать, <BR> Тряслась, не вторгавшихся тебя.В ах-ах ― <BR> Черепичная пленчатая."
58," Мы только живем не там, где родились ― а так <BR> все остальное на месте и лишено судьбы, <BR> и если свести с ума требуется пустяк, <BR> то начеку ольха, вязы или дубы. ","Мы только изменяемся не там, Где-где родились ― а впечатлительно <BR> все остальное на месте и лишено провидение <BR> и если свести с самоосознания приветствуется простодушный, <BR> то начеку СОСНА однолетние или дубы."
