,Poem Text
10,"<Е. С. Шеншиной>

Тебе, болящая в далекой стороне,
Болящему и страждущему мне
Пришло на мысль отправить этот стих,
Чтобы с веселым плеском волн морских
Влетел бы <он к> тебе в окно,
Далекий отголосок вод родных,
И слово русское, хоть на одно мгновенье,
Прервало для тебя волн средиземных пенье…
Из той среды, далёко не чужой,
Которой ты была любовью и душой,
Где и поднесь с усиленным вниманьем
Следят твою болезнь <с> сердечным состраданьем,
Будь ближе, чем когда: душе твоей присущ
Добрейший из людей, чистейшая из душ,
Твой милый, добрый, незабвенный муж!
Душа, с которою твоя была слита,
Хранившая тебя от всех соблазнов зла,
С которой заодно всю жизнь ты перешла,
Свершая честно трудный подвиг твой
Примерно-христианскою вдовой!
Привет еще тебе от тени той,
Обоим нам и милой и святой,
Которая так мало здесь гостила,
Страдала храбро так и горячо любила,
Ушла стремглав из сей юдоли слез,
Где ей, увы, ничто не удалось,
По долгой, тяжкой, истомительной борьбе,
Прощая всё и людям и судьбе.
И свой родимый край так пламенно любила,
Что хоть она и воин не была,
Но жизнь свою отчизне принесла;
Вовремя с нею не могла расстаться,
Когда б иная жизнь спасти ее могла.

Январь 1873"
11,"Императору Александру II

Царь благодушный, царь с евангельской душою,
С любовью к ближнему святою,
Принять, державный, удостой
Гимн благодарности простой!
Ты, обнимающий любовию своей
Не сотни ― тысячи людей,
Ты днесь воскрыльями ея
Благоволил покрыть и бедного меня,
Не заявившего ничем себя
И не имевшего на царское вниманье
Другого права, как свое страданье!..
Вниманьем благостным своим
Меня призреть ты удостоил
И, дух мой ободрив, ты успокоил…
О, будь же, царь, прославлен и хвалим,
Но не как царь, а как наместник бога,
Склоняющего слух
Не только к светлым легионам
Избранников своих, небесных слуг,
Но и к отдельным одиноким стонам
Существ, затерянных на сей земле,
И внемлющего их молитвенной хвале.
Чего же, царь, тебе мы пожелаем?
Торжеств ли громких и побед?
От них тебе большой отрады нет!
Мы лучшего тебе желаем,
А именно: чтобы по мере той,
Как призван волей ты святой
Здесь действовать, в печальной сей юдоли,
Ты сознаваем был всё более и боле
Таким, каков ты есть,
Как друг добра нелицемерный…
Вот образ твой, и правильный и верный,
Вот слава лучшая для нас и честь!

Апрель 1873"
12,"<Императрице Марии Александровне>

Мы солнцу Юга уступаем вас:
Оно одно ― должны сознаться мы ―
Теплее нашего вас любит, ―
А все-таки, хотя здесь царство и зимы,
Мы ни с какими бы страна́ми
Здешних мест не променяли.
Здесь сердце ваше остается с нами.
Ступайте ж, уезжайте с богом,
Но сердце ваше нам залогом,
Что скоро вы вернетесь к нам.
И пусть в отъезда час со всех сторон,
И даже с бедного одра страданья,
Мольбы, благие пожеланья
За вами понесутся вслед ―
Всех русских душ торжественный привет.

1 марта 1873"
13,"Итальянская весна

Благоуханна и светла,
Уж с февраля весна в сады вошла,
И вот миндаль мгновенно зацвела,
И белизна всю зелень облила.

Февраль 1873"
14,"<Э. Ф. Тютчевой>

Всё отнял у меня казнящий бог:
Здоровье, силу воли, воздух, сон,
Одну тебя при мне оставил он,
Чтоб я ему еще молиться мог.

Февраль 1873"
15,"День православного Востока,
Святись, святись, великий день,
Разлей свой благовест широко
И всю Россию им одень!

Но и святой Руси пределом
Его призыва не стесняй:
Пусть слышен будет в мире целом,
Пускай он льется через край,

Своею дальнею волною
И ту долину захватя,
Где бьется с немощию злою
Мое родимое дитя, ―

Тот светлый край, куда в изгнанье
Она судьбой увлечена,
Где неба южного дыханье
Как врачебство лишь пьет она…

О, дай болящей исцеленье,
Отрадой в душу ей повей,
Чтобы в Христово воскресенье
Всецело жизнь воскресла в ней…

16 апреля 1872"
16,"Как бестолковы числа эти,
Какой сумбур в календаре!
Теперь зима уж на дворе,
А мне вот довелось во всем ее расцвете,
В ее прелестнейшей поре,
Приветствовать Весну лишь в позднем ноябре.

23 ноября 1872"
17,"<А. Ф. Тютчевой>

Мир и согласье между нас
Сказались с первого же дня, ―
Поздравим же, перекрестясь,
Тебя со мной, с тобой меня.

21 апреля 1872"
18,"<Е. К. Богдановой>

Хотел бы я, чтобы в своей могиле,
Как нынче на своей кушетке, я лежал,
Века бы за веками проходили
И я бы вас всю вечность слушал и молчал.

Не ранее декабря 1872"
19,"<Е. К. Зыбиной>

Тут целый мир, живой, разнообразный,
Волшебных звуков и волшебных снов, ―
О, этот мир так молодо-прекрасный ―
Он стоит тысячи миров.

1872"
20,"Наполеон III

И ты свершил свой подвиг роковой,
Великих сил двусмысленный наследник,
Муж не судеб, а муж случайности слепой ―
Ты, сфинкс, разгаданный и пошлою толпой,
Но правды божьей, не земной,
Неотразимый проповедник, ―
Ты миру доказал на деле,
Как шатко всё, в чем этой правды нет:
Ты, целых двадцать бурных лет
Мир волновавший ― и без цели, ―
Ты много в мире лжи посеял,
И много бурь ты возрастил,
И уцелевшего рассеял,
И собранного расточил!
Народ, взложивший на тебя венец,
Ты ложью развратил и погубил вконец;
И, верный своему призванью,
Оторопевший мир игрой своей смутя,
Как неразумное дитя,
Ты предал долгому шатанью.
Спасенья нет в насилье и во лжи,
Как ни орудуй ими смело,
Для человеческой души,
Для человеческого дела.
Знай, торжествующий, кто б ныне ни был он,
Во всеоружии насилья и обмана,
Придет и твой черед, и поздно или рано
Ты ими ж будешь побежден!
Но в искупленье темных дел
Ты миру завещал один урок великий
(Да вразумятся им народы и владыки
И всякий, кто б тебе соревновать хотел):
Лишь там, лишь в той семье народной,
Где с властью высшею живая связь слышна
И где она закреплена
Взаимной верою и совестью свободной,
Где святы все ее условья
И ей народ одушевлен ―
Стоит ли у престола он
Иль бодрствует у изголовья
Одра, где царский сын лежал,
И весь народ еще недавно
Тот одр болезни окружал
Своей молитвой православной, ―
О, тут измене места нет,
Ни разновидным ухищреньям,
И крайне жалок был бы тот,
Кто б этот оскорбил народ
Иль клеветой, иль подозреньем.

30 декабря 1872"
21,"Памяти М. К. Политковской

Elle a été douce devant la mort.

Многозначительное слово
Тобою оправдалось вновь:
В крушении всего земного
Была ты ― кротость и любовь.

В самом преддверье тьмы могильной
Не оскудел, в последний час,
Твоей души любвеобильной
Неисчерпаемый запас…

И та же любящая сила,
С какой, себе не изменя,
Ты до конца переносила
Весь жизни труд, всю злобу дня, ―

Та ж торжествующая сила
Благоволенья и любви,
Не отступив, приосенила
Часы последние твои.

И ты, смиренна и послушна,
Все страхи смерти победив,
Навстречу ей шла благодушно,
Как на отеческий призыв.

О, сколько душ, тебя любивших,
О, сколько родственных сердец ―
Сердец, твоею жизнью живших,
Твой ранний поразит конец!

Я поздно встретился с тобою
На жизненном моем пути,
Но с задушевною тоскою
Я говорю тебе: прости.

В наш век отчаянных сомнений,
В наш век, неверием больной,
Когда всё гуще сходят тени
На одичалый мир земной, ―

О, если в страшном раздвоенье,
В котором жить нам суждено,
Еще одно есть откровенье,
Есть уцелевшее звено

С великой тайною загробной,
Так это ― видим, верим мы ―
Исход души, тебе подобной,
Ее исход из нашей тьмы.

Начало марта 1872"
22,"Впросонках слышу я ― и не могу
Вообразить такое сочетанье,
А слышу свист полозьев на снегу
И ласточки весенней щебетанье."
23,"Враг отрицательности узкой,
Всегда он в уровень шел с веком:
Он в человечестве был русский,
В науке был он человеком."
24,"От жизни той, что бушевала здесь,
От крови той, что здесь рекой лилась,
Что уцелело, что дошло до нас?
Два-три кургана, видимых поднесь…

Да два-три дуба выросли на них,
Раскинувшись и широко и смело.
Красуются, шумят, ― и нет им дела,
Чей прах, чью память роют корни их.

Природа знать не знает о былом,
Ей чужды наши призрачные годы,
И перед ней мы смутно сознаем
Себя самих ― лишь грезою природы.

Поочередно всех своих детей,
Свершающих свой подвиг бесполезный,
Она равно приветствует своей
Всепоглощающей и миротворной бездной.

17 августа 1871"
25,"Ватиканская годовщина

Был день суда и осужденья ―
Тот роковой, бесповоротный день,
Когда для вящего паденья
На высшую вознесся он ступень, ―

И, божьим промыслом теснимый
И загнанный на эту высоту,
Своей ногой непогрешимой
В бездонную шагнул он пустоту, ―

Когда, чужим страстям послушный,
Игралище и жертва темных сил,
Так богохульно-добродушно
Он божеством себя провозгласил…

О новом бого-человеке
Вдруг притча создалась ― и в мир вошла,
И святотатственной опеке
Христова церковь предана была.

О, сколько смуты и волнений
Воздвиг с тех пор непогрешимый тот,
И как под бурей этих прений
Кощунство зреет и соблазн растет.

В испуге ищут правду божью,
Очнувшись вдруг, все эти племена,
И как тысячелетней ложью
Она для них вконец отравлена́.

И одолеть она не в силах
Отравы той, что в жилах их течет,
В их самых сокровенных жилах,
И долго будет течь, ― и где исход?

…………….

Но нет, как ни борись упрямо,
Уступит ложь, рассеется мечта,
И ватиканский далай-лама
Не призван быть наместником Христа.

6 июля 1871"
26,"Черное море

Пятнадцать лет с тех пор минуло,
Прошел событий целый ряд,
Но вера нас не обманула ―
И севастопольского гула
Последний слышим мы раскат.

Удар последний и громовый,
Он грянул вдруг, животворя;
Последнее в борьбе суровой
Теперь лишь высказано слово;
То слово ― русского царя.

И всё, что было так недавно
Враждой воздвигнуто слепой,
Так нагло, так самоуправно,
Пред честностью его державной
Всё рушилось само собой.

И вот: свободная стихия, ―
Сказал бы наш поэт родной, ―
Шумишь ты, как во дни былые,
И катишь волны голубые,
И блещешь гордою красой!..

Пятнадцать лет тебя держало
Насилье в западном плену;
Ты не сдавалась и роптала,
Но час пробил ― насилье пало:
Оно пошло как ключ ко дну.

Опять зовет и к делу нудит
Родную Русь твоя волна,
И к распре той, что бог рассудит,
Великий Севастополь будит
От заколдованного сна.

И то, что ты во время о́но
От бранных скрыла непогод
В свое сочувственное лоно,
Отдашь ты нам ― и без урона ―
Бессмертный черноморский флот.

Да, в сердце русского народа
Святиться будет этот день, ―
Он ― наша внешняя свобода,
Он Петропавловского свода
Осветит гробовую сень…

Начало марта 1871"
27,"Брат, столько лет сопутствовавший мне,
И ты ушел, куда мы все идем,
И я теперь на голой вышине
Стою один ― и пусто всё кругом.

И долго ли стоять тут одному?
День, год-другой ― и пусто будет там,
Где я теперь, смотря в ночную тьму
И, что со мной, не сознавая сам…

Бесследно всё ― и так легко не быть!
При мне иль без меня ― что нужды в том?
Всё будет то ж ― и вьюга так же выть,
И тот же мрак, и та же степь кругом.

Дни сочтены, утрат не перечесть,
Живая жизнь давно уж позади,
Передового нет, и я как есть
На роковой стою очереди́.

11 декабря 1870"
28,"Веленью высшему покорны,
У мысли стоя на часах,
Не очень были мы задорны,
Хотя и с штуцером в руках.

Мы им владели неохотно,
Грозили редко и скорей
Не арестантский, а почетный
Держали караул при ней.

27 октября 1870"
29,"Давно известная всем дура ―
Неугомонная цензура ―
Кой-как питает нашу плоть…
Благослови ее господь!

1870?"
30,"Доехал исправно, усталый и целый,
Сегодня прощаюсь со шляпою белой,
Но с вами расставшись… не в шляпе тут дело…"
31,"Корабль в густом сыром тумане
Как бы затерянный стоит…
Недавней бурей в океане
Компа́с изломанный молчит.
И цепи якорей порвались…
Теченье ж всё несет, несет…
Бросают поминутно лот,
Уже на камни натыкались…
Друг друга ― подле не видать.
Ужель, о боже, погибать!..
И в экипаже ― ужас дикий…
А мгла густей и всё густей,
И глухо раздаются в ней
Пловцов взывания и клики…
Спаси их, господи, спаси!
Пошли ты им в сей час великий
Хоть луч единый с небеси.

<1870>"
32,"Над русской Вильной стародавной
Родные теплятся кресты ―
И звоном меди православной
Все огласились высоты.

Минули веки искушенья,
Забыты страшные дела ―
И даже мерзость запустенья
Здесь райским крином расцвела.

Преданье ожило святое
Первоначальных лучших дней,
И только позднее былое
Здесь в царство отошло теней.

Оттуда смутным сновиденьем
Еще дано ему порой
Перед всеобщим пробужденьем
Живых тревожить здесь покой.

В тот час, как с неба месяц сходит,
В холодной, ранней полумгле,
Еще какой-то призрак бродит
По оживающей земле.

Начало июля 1870"
33,"С Новым годом, с новым счастьем,
С постоянною удачей ―
Вот привет любви собачьей,
Ты прими его с участьем."
34,"А. В. Пл<етне>вой

Чему бы жизнь нас ни учила,
Но сердце верит в чудеса:
Есть нескудеющая сила,
Есть и нетленная краса.

И увядание земное
Цветов не тронет неземных,
И от полуденного зноя
Роса не высохнет на них.

И эта вера не обманет
Того, кто ею лишь живет,
Не всё, что здесь цвело, увянет,
Не всё, что было здесь, пройдет!

Но этой веры для немногих
Лишь тем доступна благодать,
Кто в искушеньях жизни строгих,
Как вы, умел, любя, страдать,

Чужие врачевать недуги
Своим страданием умел,
Кто душу положил за други
И до конца всё претерпел.

Начало ноября 1870"
35,"<А. М. Горчакову>

Да, вы сдержали ваше слово:
Не двинув пушки, ни рубля,
В свои права вступает снова
Родная русская земля.

И нам завещанное море
Опять свободною волной,
О кратком позабыв позоре,
Лобзает берег свой родной.

Счастлив в наш век, кому победа
Далась не кровью, а умом,
Счастлив, кто точку Архимеда
Умел сыскать в себе самом, ―

Кто, полный бодрого терпенья,
Расчет с отвагой совмещал ―
То сдерживал свои стремленья,
То своевременно дерзал.

Но кончено ль противоборство?
И как могучий ваш рычаг
Осилит в умниках упорство
И бессознательность в глупцах?

Ноябрь 1870"
36,"Гус на костре

Костер сооружен, и роковое
Готово вспыхнуть пламя; всё молчит, ―
Лишь слышен легкий треск, и в нижнем слое
Костра огонь предательски сквозит.

Дым побежал ― народ столпился гуще;
Вот все они ― весь этот темный мир:
Тут и гнетомый люд, и люд гнетущий,
Ложь и насилье, рыцарство и клир.

Тут вероломный кесарь, и князей
Имперских и духовных сонм верховный,
И сам он, римский иерарх, в своей
Непогрешимости греховной.

Тут и она ― та старица простая,
Не позабытая с тех пор,
Что принесла, крестясь и воздыхая,
Вязанку дров, как лепту, на костер.

И на костре, как жертва пред закланьем,
Вам праведник великий предстоит:
Уже обвеян огненным сияньем,
Он молится ― и голос не дрожит…

Народа чешского святой учитель,
Бестрепетный свидетель о Христе
И римской лжи суровый обличитель
В своей высокой простоте, ―

Не изменив ни богу, ни народу,
Боролся он ― и был необорим ―
За правду божью, за ее свободу,
За всё, за всё, что бредом назвал Рим.

Он духом в небе ― братскою ж любовью
Еще он здесь, еще в кругу своих,
И светел он, что собственною кровью
Христову кровь он отстоял для них.

О чешский край! О род единокровный!
Не отвергай наследья своего!
О, доверши же подвиг свой духовный
И братского единства торжество!

И, цепь порвав с юродствующим Римом,
Гнетущую тебя уж так давно,
На Гусовом костре неугасимом
Расплавь ее последнее звено.

15―17 марта 1870"
37,"Два единства

Из переполненной господним гневом чаши
Кровь льется через край, и Запад тонет в ней.
Кровь хлынет и на вас, друзья и братья наши! ―
Славянский мир, сомкнись тесней…

""Единство, ― возвестил оракул наших дней, ―
Быть может спаяно железом лишь и кровью…""
Но мы попробуем спаять его любовью, ―
А там увидим, что прочней…

Сентябрь 1870"
38,"<Из ""Эгмонта"" Гёте>

Радость и горе в живом упоенье,
Думы и сердце в вечном волненье,
В небе ликуя, томясь на земли,
Страстно ликующей,
Страстно тоскующей
Жизни блаженство в одной лишь любви…

Февраль 1870"
39,"К. Б.

Я встретил вас ― и всё былое
В отжившем сердце ожило;
Я вспомнил время золотое ―
И сердцу стало так тепло…

Как поздней осени порою
Бывают дни, бывает час,
Когда повеет вдруг весною
И что-то встрепенется в нас, ―

Так, весь обвеян дуновеньем
Тех лет душевной полноты,
С давно забытым упоеньем
Смотрю на милые черты…

Как после вековой разлуки
Гляжу на вас, как бы во сне, ―
И вот ― слышнее стали звуки,
Не умолкавшие во мне…

Тут не одно воспоминанье,
Тут жизнь заговорила вновь, ―
И то же в вас очарованье,
И та ж в душе моей любовь!..

26 июля 1870"
40,"11-е мая 1869

Нас всех, собравшихся на общий праздник снова,
Учило нынче нас евангельское слово
В своей священной простоте:
""Не утаится Град от зрения людского,
Стоя на горней высоте"".

Будь это и для нас возвещено не всуе ―
Заветом будь оно и нам,
И мы, великий день здесь братски торжествуя,
Поставим наш союз на высоту такую,
Чтоб всем он виден был ― всем братским племенам.

11 мая 1869"
41,"Великий день Кирилловой кончины ―
Каким приветствием сердечным и простым
Тысячелетней годовщины
Святую память мы почтим?

Какими этот день запечатлеть словами,
Как не словами, сказанными им,
Когда, прощаяся и с братом и с друзьями,
Он нехотя свой прах тебе оставил, Рим…

Причастные его труду,
Чрез целый ряд веков, чрез столько поколений,
И мы, и мы его тянули борозду
Среди соблазнов и сомнений.

И в свой черед, как он, не довершив труда,
И мы с нее сойдем, и, словеса святые
Его воспомяну́в, воскликнем мы тогда:
""Не изменяй себе, великая Россия!

Не верь, не верь чужим, родимый край,
Их ложной мудрости иль наглым их обманам,
И, как святой Кирилл, и ты не покидай
Великого служения славянам…""

13 февраля 1869"
42,"Вы не родились поляком,
Хоть шляхтич вы по направленью,
А русский вы ― сознайтесь в том ―
По Третьему лишь отделенью.

Слуга влиятельных господ,
С какой отвагой благородной
Громите речью вы свободной
Всех тех, кому зажали рот!

Недаром вашим вы пером
Аристократии служили ―
В какой лакейской изучили
Вы этот рыцарский прием?

Середина января 1869"
43,"Две силы есть ― две роковые силы,
Всю жизнь свою у них мы под рукой,
От колыбельных дней и до могилы, ―
Одна есть Смерть, другая ― Суд людской.

И та и тот равно неотразимы,
И безответственны и тот и та,
Пощады нет, протесты нетерпимы,
Их приговор смыкает всем уста…

Но Смерть честней ― чужда лицеприятью,
Не тронута ничем, не смущена,
Смиренную иль ропщущую братью ―
Своей косой равняет всех она.

Свет не таков: борьбы, разноголосья ―
Ревнивый властелин ― не терпит он,
Не косит сплошь, но лучшие колосья
Нередко с корнем вырывает вон.

И горе ей ― увы, двойное горе, ―
Той гордой силе, гордо-молодой,
Вступающей с решимостью во взоре,
С улыбкой на устах ― в неравный бой.

Когда она, при роковом сознанье
Всех прав своих, с отвагой красоты,
Бестрепетно, в каком-то обаянье
Идет сама навстречу клеветы,

Личиною чела не прикрывает,
И не дает принизиться челу,
И с кудрей молодых, как пыль, свевает
Угрозы, брань и страстную хулу, ―

Да, горе ей ― и чем простосердечней,
Тем кажется виновнее она…
Таков уж свет: он там бесчеловечней,
Где человечно-искренней вина.

Март 1869"
44,"Как нас ни угнетай разлука,
Но покоряемся мы ей ―
Для сердца есть другая мука,
Невыносимей и больней.

Пора разлуки миновала,
И от нее в руках у нас
Одно осталось покрывало,
Полупрозрачное для глаз.

И знаем мы: под этой дымкой
Всё то, по чем душа болит,
Какой-то странной невидимкой
От нас таится ― и молчит.

Где цель подобных искушений?
Душа невольно смущена,
И в колесе недоумений
Верти́тся нехотя она.

Пора разлуки миновала,
И мы не смеем, в добрый час,
Задеть и сдернуть покрывало,
Столь ненавистное для нас!

14 октября 1869"
45,"Как насаждения Петрова
В Екатерининской долине
Деревья пышно разрослись, ―
Так насаждаемое ныне
Здесь русское живое слово
Расти и глубже коренись."
46,"Нам не дано предугадать,
Как слово наше отзовется, ―
И нам сочувствие дается,
Как нам дается благодать…"
47,"""Нет, не могу я видеть вас…"" ―
Так говорил я в самом деле,
И не один, а сотню раз, ―
А вы ― и верить не хотели.

В одном доносчик мой не прав ―
Уж если доносить решился,
Зачем же, речь мою прервав,
Он досказать не потрудился?

И нынче нудит он меня ―
Шутник и пошлый и нахальный, ―
Его затею устраня,
Восстановить мой текст буквальный.

Да, говорил я, и не раз ―
То не был случай одинокий, ―
Мы все не можем видеть вас ―
Без той сочувственно-глубокой

Любви сердечной и святой,
С какой ― как в этом не сознаться? ―
Своею лучшею звездой
Вся Русь привыкла любоваться.

5 февраля 1869"
48,"Природа ― сфинкс. И тем она верней
Своим искусом губит человека,
Что, может статься, никакой от века
Загадки нет и не было у ней.

Август 1869"
49,"Там, где дары судьбы освящены душой,
Оправданы благотвореньем,
Невольно человек мирится здесь с судьбой,
Душа сознательно мирится с провиденьем."
50,"А. Ф. Гильфердингу

Спешу поздравить с неудачей:
Она ― блистательный успех,
Для вас почетна наипаче
И назидательна для всех.

Что русским словом столько лет
Вы славно служите России,
Про это знает целый свет,
Не знают немцы лишь родные.

Ах нет, то знают и они;
И что в славянском вражьем мире
Вы совершили ― вы одни ―
Все ведают, et inde irae!

Во всем обширном этом крае
Они встречали вас не раз,
В Балканах, Чехах, на Дунае ―
Везде, везде встречали вас.

И как же мог бы без измены,
Высокодоблестный досель,
В академические стены,
В заветную их цитадель,

Казною русской содержимый
Для этих славных оборон,
Вас, вас впустить ― непобедимый
Немецкий храбрый гарнизон?

17 декабря 1869"
51,"Андрею Николаевичу Муравьеву

Там, где на высоте обрыва
Воздушно-светозарный храм
Уходит ввыспрь ― очам на диво,
Как бы парящий к небесам;
Где Первозванного Андрея
Еще поднесь сияет крест,
На небе киевском белея,
Святой блюститель этих мест, ―

К стопам его свою обитель
Благоговейно прислоня,
Живешь ты там ― не праздный житель ―
На склоне трудового дня.
И кто бы мог без умиленья
И ныне не почтить в тебе
Единство жизни и стремленья
И твердость стойкую в борьбе?

Да, много, много испытаний
Ты перенес и одолел…
Живи ж не в суетном сознанье
Заслуг своих и добрых дел;
Но для любви, но для примера,
Да убеждаются тобой,
Что может действенная вера
И мысли неизменный строй.

Август 1869"
52,"В деревне

Что за отчаянные крики,
И гам, и трепетанье крыл?
Кто этот гвалт безумно-дикий
Так неуместно возбудил?
Ручных гусей и уток стая
Вдруг одичала и летит.
Летит ― куда, сама не зная,
И, как шальная, голосит.

Какой внезапною тревогой
Звучат все эти голоса!
Не пес, а бес четвероногой,
Бес, обернувшийся во пса,
В порыве буйства, для забавы,
Самоуверенный нахал,
Смутил покой их величавый
И их размыкал, разогнал!

И словно сам он, вслед за ними,
Для довершения обид,
С своими нервами стальными,
На воздух взвившись, полетит!
Какой же смысл в движенье этом?
Зачем вся эта трата сил?
Зачем испуг таким полетом
Гусей и уток окрылил?

Да, тут есть цель! В ленивом стаде
Замечен страшный был застой,
И нужен стал, прогресса ради,
Внезапный натиск роковой.
И вот благое провиденье
С цепи спустило сорванца,
Чтоб крыл своих предназначенье
Не позабыть им до конца.

Так современных проявлений
Смысл иногда и бестолков, ―
Но тот же современный гений
Всегда их выяснить готов.
Иной, ты скажешь, просто лает,
А он свершает высший долг ―
Он, осмысляя, развивает
Утиный и гусиный толк.

16 августа 1869"
